ID_Soporte;ITEM;EWP;CWP;CWA;PWP;ID_LINEA;ID_ISO;CLASE;ID_TipoSoporte;DIAM.;CANTIDAD;UNIDAD;PESO_TOTAL;UNIDAD2;SUMINISTRO;OBSERV.;;
"136_PU-01, PERNO U LARGO_3""";136;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-3""-C2-0064-N";;C2;PU-01, PERNO U LARGO;"3""";1;un;-;kg;Contratista;;;
"154_PU-01, PERNO U LARGO_3""";154;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-3""-C2-0065-N";;C2;PU-01, PERNO U LARGO;"3""";1;un;-;kg;Contratista;;;
"155_PU-01, PERNO U LARGO_3""";155;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-3""-C2-0066-N";;C2;PU-01, PERNO U LARGO;"3""";1;un;-;kg;Contratista;;;
"138_PU-01, PERNO U LARGO_3""";138;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-3""-C2-0068-N";;C2;PU-01, PERNO U LARGO;"3""";1;un;-;kg;Contratista;;;
"139_PU-01, PERNO U LARGO_3""";139;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-3""-C2-0068-N";;C2;PU-01, PERNO U LARGO;"3""";1;un;-;kg;Contratista;;;
"147_PU-01, PERNO U LARGO_3""";147;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-3""-C2-0069-N";;C2;PU-01, PERNO U LARGO;"3""";1;un;-;kg;Contratista;;;
"150_PU-01, PERNO U LARGO_3""";150;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-3""-C2-0070-N";;C2;PU-01, PERNO U LARGO;"3""";1;un;-;kg;Contratista;;;
"134_PU-01, PERNO U LARGO_3""";134;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-3""-C2-0071-N";;C2;PU-01, PERNO U LARGO;"3""";1;un;-;kg;Contratista;;;
"151_PU-01, PERNO U LARGO_3""";151;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-3""-C2-0074-N";;C2;PU-01, PERNO U LARGO;"3""";1;un;-;kg;Contratista;;;
"137_PU-01, PERNO U LARGO_3""";137;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-3""-C2-0086-N";;C2;PU-01, PERNO U LARGO;"3""";1;un;-;kg;Contratista;;;
