ID_VALVULA;ID_MTO;ID_LINEA;CLASE;DESCRIPCION;TAG PIPING;Correlativo Maqueta;Número Aconex;DIAGRAMA;TAG INSTRUMENTACION;DIAM.;CANTIDAD
VAL011;1.2519;"03351-PW-4""-C1-0016-N";C1;VÁLVULA DE BOLA 2 CUERPOS, API 608, CUERPO ASTM A216 GR. WCB, BOLA A316, ASIENTO RPTFE, ANSI B16.5CLASE 150 RF, LO;4-VBB-103;129;;;Manual;"4""";1
VAL012;1.2520;"03351-PW-4""-C1-0094-N";C1;VÁLVULA DE BOLA 2 CUERPOS, API 608, CUERPO ASTMA216 GR. WCB, BOLA A316, ASIENTO RPTFE, ANSI B16.5 CLASE 150 RF, LO;4-VBB-103;149;;;Manual;"4""";1
VAL013;1.2521;"03351-PW-4""-C1-0016-N";C1;VÁLVULA DE BOLA 2 CUERPOS, API 608, CUERPO ASTMA216 GR. WCB, BOLA A316, ASIENTO RPTFE, ANSI B16.5 CLASE 150 RF, LO;4-VBB-103;147;;;Manual;"4""";1
VAL014;1.2522;"03351-PW-4""-C1-0016-N";C1;VÁLVULA DE BOLA 2 CUERPOS, API 608, CUERPO ASTMA216 GR. WCB, BOLA A316, ASIENTO RPTFE, ANSI B16.5 CLASE 150 RF, PO;4-VBB-104;146;;;HV-1027;"4""";1
VAL015;1.2523;"03351-GW-1""-C1-0076-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";1-VBB-101;047;;;Manual;"1""";1
VAL016;1.2524;"03351-GW-1""-C1-0033-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";1-VBB-101;058;;;Manual;"1""";1
VAL017;1.2525;"03351-GW-1""-C1-0031-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";0.75-VBB-101;054;;;Manual;"3/4""";1
VAL018;1.2526;"03351-GW-1""-C1-0035-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";1-VBB-100;066;;;Manual;"1""";1
VAL019;1.2527;"03351-GW-1""-C1-0031-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";1-VBB-101;049;;;Manual;"1""";1
VAL020;1.2528;"03351-GW-1""-C1-0035-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";0.75-VBB-101;069;;;Manual;"3/4""";1
VAL021;1.2529;"03351-GW-1""-C1-0033-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";1-VBB-101;063;;;Manual;"1""";1
VAL022;1.2530;"03351-GW-1""-C1-0035-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";0.75-VBB-101;070;;;Manual;"3/4""";1
VAL023;1.2531;"03351-GW-1""-C1-0075-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";1-VBB-101;048;;;Manual;"1""";1
VAL024;1.2532;"03351-GW-1""-C1-0033-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";0.75-VBB-101;061;;;Manual;"3/4""";1
VAL025;1.2533;"03351-GW-1""-C1-0031-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";0.75-VBB-101;055;;;Manual;"3/4""";1
VAL026;1.2534;"03351-GW-1""-C1-0035-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";1-VBB-101;071;;;Manual;"1""";1
VAL027;1.2535;"03351-GW-1""-C1-0031-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";1-VBB-101;052;;;Manual;"1""";1
VAL028;1.2536;"03351-GW-1""-C1-0031-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";1-VBB-101;053;;;Manual;"1""";1
VAL029;1.2537;"03351-GW-1""-C1-0035-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";1-VBB-101;072;;;Manual;"1""";1
VAL030;1.2538;"03351-GW-1""-C1-0033-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";1-VBB101;064;;;Manual;"1""";1
VAL031;1.2539;"03351-GW-1""-C1-0033-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";0.75-VBB-101;062;;;Manual;"3/4""";1
VAL032;1.2540;"03351-GW-2""-C1-0095-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";0.75-VBB-101;170;;;Manual;"3/4""";1
VAL033;1.2541;"03351-GW-2""-C1-0095-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";0.75-VBB-101;169;;;Manual;"3/4""";1
VAL034;1.2542;"03351-PW-2""-C1-0051-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;128;;;Manual;"2""";1
VAL035;1.2543;"03351-PW-2""-C1-0025-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;125;;;Manual;"2""";1
VAL036;1.2544;"03351-PW-2""-C1-0028-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;126;;;Manual;"2""";1
VAL037;1.2545;"03351-PW-2""-C1-0091-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;115;;;Manual;"2""";1
VAL038;1.2546;"03351-PW-2""-C1-0054-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;013;;;Manual;"2""";1
VAL039;1.2547;"03351-PW-2""-C1-0056-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;119;;;Manual;"2""";1
VAL040;1.2548;"03351-PW-2""-C1-0055-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;123;;;Manual;"2""";1
VAL041;1.2549;"03351-PW-2""-C1-0014-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";2-VBB-100;007;;;Manual;"2""";1
VAL042;1.2550;"03351-PW-2""-C1-0014-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";2-VBB-100;008;;;Manual;"2""";1
VAL043;1.2551;"03351-PW-2""-C1-0089-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";2-VBB-100;113;;;Manual;"2""";1
VAL044;1.2552;"03351-PW-2""-C1-0090-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;124;;;Manual;"2""";1
VAL045;1.2553;"03351-PW-2""-C1-0090-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;114;;;Manual;"2""";1
VAL046;1.2554;"03351-PW-2""-C1-0088-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;112;;;Manual;"2""";1
VAL047;1.2555;"03351-PW-2""-C1-0039-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;032;;;Manual;"2""";1
VAL048;1.2556;"03351-GW-2""-C1-0078-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;033;;;Manual;"2""";1
VAL049;1.2557;"03351-PW-2""-C1-0038-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;015;;;Manual;"2""";1
VAL050;1.2558;"03351-PW-2""-C1-0039-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;110;;;Manual;"2""";1
VAL051;1.2559;"03351-PW-2""-C1-0093-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;150;;;Manual;"2""";1
VAL052;1.2560;"03351-PW-2""-C1-0025-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;127;;;Manual;"2""";1
VAL053;1.2561;"03351-PW-2""-C1-0044-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;117;;;Manual;"2""";1
VAL054;1.2562;"03351-PW-2""-C1-0093-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;151;;;Manual;"2""";1
VAL055;1.2563;"03351-PW-2""-C1-0054-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;121;;;Manual;"2""";1
VAL056;1.2564;"03351-GW-2""-C1-0040-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";2-VBB-100;034;;;Manual;"2""";1
VAL057;1.2565;"03351-GW-2""-C1-0042-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";2-VBB-100;044;;;Manual;"2""";1
VAL058;1.2566;"03351-GW-2""-C1-0041-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";2-VBB-100;043;;;Manual;"2""";1
VAL059;1.2567;"03351-GW-2""-C1-0095-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;171;;;Manual;"2""";1
VAL060;1.2568;"03351-PW-2""-C1-0049-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;165;;;Manual;"2""";1
VAL061;1.2569;"03351-PW-2""-C1-0048-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;030;;;Manual;"2""";1
VAL062;1.2570;"03351-PW-2""-C1-0082-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;154;;;Manual;"2""";1
VAL063;1.2571;"03351-PW-2""-C1-0026-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;095;;;Manual;"2""";1
VAL064;1.2572;"03351-PW-2""-C1-0081-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;155;;;Manual;"2""";1
VAL065;1.2573;"03351-PW-2""-C1-0049-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;028;;;Manual;"2""";1
VAL066;1.2574;"03351-PW-2""-C1-0052-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;031;;;Manual;"2""";1
VAL067;1.2575;"03351-PW-2""-C1-0048-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;164;;;Manual;"2""";1
VAL068;1.2576;"03351-PW-2""-C1-0092-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;116;;;Manual;"2""";1
VAL069;1.2577;"03351-PW-2""-C1-0085-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;103;;;Manual;"2""";1
VAL070;1.2578;"03351-PW-2""-C1-0083-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";2-VBB-100;158;;;Manual;"2""";1
VAL071;1.2579;"03351-PW-2""-C1-0053-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";2-VBB-100;029;;;Manual;"2""";1
VAL072;1.2580;"03351-PW-2""-C1-0084-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";2-VBB-100;160;;;Manual;"2""";1
VAL073;1.2581;"03351-PW-2""-C1-0024-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";2-VBB-100;009;;;Manual;"2""";1
VAL074;1.2582;03351-RW-250-H1-0011-N;H1;VÁLVULA DE CUCHILLO BIDIRECCIONAL NO PASANTE, CUERPO ACERO CARBONO A216 WCB, EMPAQUETADURA FIBRA SINTÉTICA IMPREGNADA PTFE, COMPUERTA ASTM A316, MSS SP-81, ASME B16.5 CL 150, WAFER, ACCIONAMIENTO MANUAL ENGRANAJE CÓNIC;10-VKN-303;041;;;Manual;"10""";1
VAL075;1.2583;03351-RW-250-H1-0009-N;H1;VÁLVULA DE CUCHILLO BIDIRECCIONAL NO PASANTE, CUERPO ACERO CARBONO A216 WCB, EMPAQUETADURA FIBRA SINTÉTICA IMPREGNADA PTFE, COMPUERTA ASTM A316, MSS SP-81, ASME B16.5 CL 150, WAFER, ACCIONAMIENTO MANUAL ENGRANAJE CÓNIC;10-VKN-303;037;;;Manual;"10""";1
VAL076;1.2584;03351-RW-250-H1-0010-N;H1;VÁLVULA DE CUCHILLO BIDIRECCIONAL NO PASANTE, CUERPO ACERO CARBONO A216 WCB, EMPAQUETADURA FIBRA SINTÉTICA IMPREGNADA PTFE, COMPUERTA ASTM A316, MSS SP-81, ASME B16.5 CL 150, WAFER, ACCIONAMIENTO MANUAL ENGRANAJE CÓNIC;10-VKN-303;039;;;Manual;"10""";1
VAL077;1.2585;"03351-CT-6""-C3-0006-R3";C3;VÁLVULA DE CUCHILLO BIDIRECCIONAL NO PASANTE, CUERPO ACERO CARBONO A216 WCB, EMPAQUETADURA FIBRA SINTÉTICA IMPREGNADA PTFE, COMPUERTA ASTM A316, MSS SP-81, ASME B16.5 CL 150, WAFER, ACCIONAMIENTO MANUAL ENGRANAJE CÓNIC;12-VKN-302;019;;;Manual;"12""";1
VAL078;1.2586;"03351-CT-6""-C3-0007-R3";C3;VÁLVULA DE CUCHILLO BIDIRECCIONAL NO PASANTE, CUERPO ACERO CARBONO A216 WCB, EMPAQUETADURA FIBRA SINTÉTICA IMPREGNADA PTFE, COMPUERTA ASTM A316, MSS SP-81, ASME B16.5 CL 150, WAFER, ACCIONAMIENTO MANUAL ENGRANAJE CÓNIC;12-VKN-302;022;;;Manual;"12""";1
