ID_ISO;ID_LINEA;SHEET;REV;PLANO_CONTRATISTA;PLANO_CODELCO;CLASE;NPS;INGENIERIA;CONDICION;SPOOLEADO;ESTATUS;DISTRIBUIDO;OBSERVACIONES
"03351-CT-6""-C3-0046-R3_HOJA-3";"03351-CT-6""-C3-0046-R3";3;0;F039-SS01-ISO-PI-007;4600022667-001-03350-502CA-00007;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0046-R3_HOJA-4";"03351-CT-6""-C3-0046-R3";4;0;F039-SS01-ISO-PI-007;4600022667-001-03350-502CA-00007;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0046-R3_HOJA-5";"03351-CT-6""-C3-0046-R3";5;0;F039-SS01-ISO-PI-007;4600022667-001-03350-502CA-00007;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0030-R3_HOJA-1";"03351-CT-6""-C3-0030-R3";1;0;F039-SS01-ISO-PI-008;4600022667-001-03350-502CA-00008;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0030-R3_HOJA-2";"03351-CT-6""-C3-0030-R3";2;0;F039-SS01-ISO-PI-008;4600022667-001-03350-502CA-00008;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0050-R3_HOJA-1";"03351-CT-6""-C3-0050-R3";1;0;F039-SS01-ISO-PI-009;4600022667-001-03350-502CA-00009;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0050-R3_HOJA-2";"03351-CT-6""-C3-0050-R3";2;0;F039-SS01-ISO-PI-009;4600022667-001-03350-502CA-00009;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C11-0001-N_HOJA-1";"03351-CT-6""-C11-0001-N";1;1;F039-SS01-ISO-PI-010;4600022667-001-03350-502CA-00010;C11;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C11-0001-N_HOJA-2";"03351-CT-6""-C11-0001-N";2;1;F039-SS01-ISO-PI-010;4600022667-001-03350-502CA-00010;C11;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C11-0001-N_HOJA-3";"03351-CT-6""-C11-0001-N";3;1;F039-SS01-ISO-PI-010;4600022667-001-03350-502CA-00010;C11;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C11-0001-N_HOJA-4";"03351-CT-6""-C11-0001-N";4;1;F039-SS01-ISO-PI-010;4600022667-001-03350-502CA-00010;C11;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C11-0001-N_HOJA-5";"03351-CT-6""-C11-0001-N";5;1;F039-SS01-ISO-PI-010;4600022667-001-03350-502CA-00010;C11;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C11-0001-N_HOJA-6";"03351-CT-6""-C11-0001-N";6;1;F039-SS01-ISO-PI-010;4600022667-001-03350-502CA-00010;C11;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C11-0001-N_HOJA-7";"03351-CT-6""-C11-0001-N";7;1;F039-SS01-ISO-PI-010;4600022667-001-03350-502CA-00010;C11;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C11-0001-N_HOJA-8";"03351-CT-6""-C11-0001-N";8;1;F039-SS01-ISO-PI-010;4600022667-001-03350-502CA-00010;C11;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C11-0001-N_HOJA-9";"03351-CT-6""-C11-0001-N";9;1;F039-SS01-ISO-PI-010;4600022667-001-03350-502CA-00010;C11;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C11-0001-N_HOJA-10";"03351-CT-6""-C11-0001-N";10;1;F039-SS01-ISO-PI-010;4600022667-001-03350-502CA-00010;C11;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C2-0047-N_HOJA-1";"03351-CT-6""-C2-0047-N";1;0;F039-SS01-ISO-PI-011;4600022667-001-03350-502CA-00011;C2;12;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C2-0047-N_HOJA-2";"03351-CT-6""-C2-0047-N";2;0;F039-SS01-ISO-PI-011;4600022667-001-03350-502CA-00011;C2;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-10""-C3-0079-R3_HOJA-1";"03351-CT-10""-C3-0079-R3";1;0;F039-SS01-ISO-PI-012;4600022667-001-03350-502CA-00012;C3;10;EIMISA;Dibujado;SI;Vigente;SI;
03351-CT-200-H2-0002-N_HOJA-1;03351-CT-200-H2-0002-N;1;0;F039-SS01-ISO-PI-013;4600022667-001-03350-502CA-00013;H2;8;EIMISA;Dibujado;SI;Vigente;SI;
03351-CT-200-H2-0002-N_HOJA-2;03351-CT-200-H2-0002-N;2;0;F039-SS01-ISO-PI-013;4600022667-001-03350-502CA-00013;H2;8;EIMISA;Dibujado;SI;Vigente;SI;
03351-CT-200-H2-0002-N_HOJA-3;03351-CT-200-H2-0002-N;3;0;F039-SS01-ISO-PI-013;4600022667-001-03350-502CA-00013;H2;8;EIMISA;Dibujado;SI;Vigente;SI;
03351-CT-200-H2-0002-N_HOJA-4;03351-CT-200-H2-0002-N;4;0;F039-SS01-ISO-PI-013;4600022667-001-03350-502CA-00013;H2;8;EIMISA;Dibujado;SI;Vigente;SI;
03351-CT-200-H2-0002-N_HOJA-5;03351-CT-200-H2-0002-N;5;0;F039-SS01-ISO-PI-013;4600022667-001-03350-502CA-00013;H2;8;EIMISA;Dibujado;SI;Vigente;SI;
03351-CT-200-H2-0045-N_HOJA-1;03351-CT-200-H2-0045-N;1;0;F039-SS01-ISO-PI-014;4600022667-001-03350-502CA-00014;H2;8;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-3""-C2-0012-N_HOJA-1";"03351-CT-3""-C2-0012-N";1;0;F039-SS01-ISO-PI-015;4600022667-001-03350-502CA-00015;C2;3;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-3""-C2-0059-N_HOJA-1";"03351-CT-3""-C2-0059-N";1;0;F039-SS01-ISO-PI-016;4600022667-001-03350-502CA-00016;C2;3;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-3""-C2-0060-N_HOJA-1";"03351-CT-3""-C2-0060-N";1;0;F039-SS01-ISO-PI-017;4600022667-001-03350-502CA-00017;C2;3;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-3""-C2-0061-N_HOJA-1";"03351-CT-3""-C2-0061-N";1;0;F039-SS01-ISO-PI-018;4600022667-001-03350-502CA-00018;C2;3;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-3""-C2-0062-N_HOJA-1";"03351-CT-3""-C2-0062-N";1;0;F039-SS01-ISO-PI-019;4600022667-001-03350-502CA-00019;C2;3;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-3""-C2-0063-N_HOJA-1";"03351-CT-3""-C2-0063-N";1;0;F039-SS01-ISO-PI-020;4600022667-001-03350-502CA-00020;C2;3;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-3""-C2-0064-N_HOJA-1";"03351-CT-3""-C2-0064-N";1;0;F039-SS01-ISO-PI-021;4600022667-001-03350-502CA-00021;C2;3;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-3""-C2-0065-N_HOJA-1";"03351-CT-3""-C2-0065-N";1;0;F039-SS01-ISO-PI-022;4600022667-001-03350-502CA-00022;C2;3;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-3""-C2-0066-N_HOJA-1";"03351-CT-3""-C2-0066-N";1;0;F039-SS01-ISO-PI-023;4600022667-001-03350-502CA-00023;C2;3;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-3""-C2-0067-N_HOJA-1";"03351-CT-3""-C2-0067-N";1;0;F039-SS01-ISO-PI-024;4600022667-001-03350-502CA-00024;C2;3;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-3""-C2-0068-N_HOJA-1";"03351-CT-3""-C2-0068-N";1;0;F039-SS01-ISO-PI-025;4600022667-001-03350-502CA-00025;C2;3;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-3""-C2-0069-N_HOJA-1";"03351-CT-3""-C2-0069-N";1;0;F039-SS01-ISO-PI-026;4600022667-001-03350-502CA-00026;C2;3;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-3""-C2-0070-N_HOJA-1";"03351-CT-3""-C2-0070-N";1;0;F039-SS01-ISO-PI-027;4600022667-001-03350-502CA-00027;C2;3;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-3""-C2-0071-N_HOJA-1";"03351-CT-3""-C2-0071-N";1;0;F039-SS01-ISO-PI-028;4600022667-001-03350-502CA-00028;C2;3;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-3""-C2-0072-N_HOJA-1";"03351-CT-3""-C2-0072-N";1;0;F039-SS01-ISO-PI-029;4600022667-001-03350-502CA-00029;C2;3;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-3""-C2-0074-N_HOJA-1";"03351-CT-3""-C2-0074-N";1;0;F039-SS01-ISO-PI-030;4600022667-001-03350-502CA-00030;C2;3;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-3""-C2-0086-N_HOJA-1";"03351-CT-3""-C2-0086-N";1;0;F039-SS01-ISO-PI-031;4600022667-001-03350-502CA-00031;C2;3;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-4""-C2-0003-N_HOJA-1";"03351-CT-4""-C2-0003-N";1;0;F039-SS01-ISO-PI-032;4600022667-001-03350-502CA-00032;C2;4;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-4""-C2-0004-N_HOJA-1";"03351-CT-4""-C2-0004-N";1;0;F039-SS01-ISO-PI-033;4600022667-001-03350-502CA-00033;C2;4;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-4""-C3-0015-R3_HOJA-1";"03351-CT-4""-C3-0015-R3";1;0;F039-SS01-ISO-PI-034;4600022667-001-03350-502CA-00034;C3;4;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-4""-C3-0015-R3_HOJA-2";"03351-CT-4""-C3-0015-R3";2;0;F039-SS01-ISO-PI-034;4600022667-001-03350-502CA-00034;C3;4;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-4""-C3-0017-R3_HOJA-1";"03351-CT-4""-C3-0017-R3";1;0;F039-SS01-ISO-PI-035;4600022667-001-03350-502CA-00035;C3;4;EIMISA;Dibujado;SI;Vigente;SI;
"03351-CT-4""-C3-0077-R3_HOJA-1";"03351-CT-4""-C3-0077-R3";1;0;F039-SS01-ISO-PI-036;4600022667-001-03350-502CA-00036;C3;4;EIMISA;Dibujado;SI;Vigente;SI;
